"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"51","I1",14,"Milan","Fiorentina",1,"A",0.5,0.6,0,2,8,-6,3,-4,-2,4,2.05,3.5,3.5,0.196978854047705,0.276759906741629,0.526261239210666,14,1.90019694686215,3.6132401248912,5.07668706285505
"52","I1",14,"Napoli","Catania",1,"H",0.8,0.4,7,-3,8,-36,7,-9,2,-16,1.22,6,13,0.0903221076797462,0.206042088893488,0.703635803426766,14,1.42118976199039,4.85337731417072,11.0714865461918
"53","I1",14,"Parma","Juventus",1,"A",0.5,0.8,1,6,-5,63,-2,26,-9,19,4.5,3.75,1.73,0.588759996866632,0.230764965987877,0.180475037145491,14,5.54093250688095,4.33341341792989,1.69848496046263
"54","I1",14,"Lazio","Genoa",1,"A",0.5,0.5,1,-2,-2,-36,-2,-11,-11,-4,1.57,3.8,6,0.149957105001802,0.254499706441595,0.595543188556603,14,1.67913934575201,3.9292776167877,6.66857365636649
"55","I1",14,"Livorno","Atalanta",1,"H",0.1,0.7,-7,3,19,-20,-1,0,4,7,2.7,3.1,2.7,0.205816657078579,0.285799222678334,0.508384120243087,14,1.96701659273276,3.49895983141108,4.85869323792491
"56","I1",14,"Sampdoria","Sassuolo",1,"A",0.5,0.4,-1,-2,5,6,2,5,-21,-2,1.95,3.5,3.8,0.255702663203309,0.347821604448833,0.396475732347857,14,2.52222246763549,2.8750370512051,3.91079227518604
"57","I1",14,"Torino","Roma",1,"D",0.3,1,-3,12,-18,7,-12,11,7,-3,4,3.5,1.91,0.453921669083449,0.285111284814555,0.260967046101996,14,3.83190144095497,3.50740238377597,2.20302327055499
"58","I1",14,"Udinese","Inter",1,"A",0.4,0.5,-1,-1,-17,13,-6,0,-2,10,2.63,3.3,2.63,0.345421297798783,0.253579310500698,0.400999391700519,14,2.4937693689741,3.94353939217469,2.8950154676986
"59","I1",14,"Verona","Cagliari",1,"H",0.8,0.3,5,-6,-29,13,-9,0,-2,6,2.05,3.4,3.5,0.331114232626249,0.190628842057372,0.478256925316379,14,2.09092633491606,5.24579591003883,3.02010575645888
"60","I1",14,"Bologna","Chievo",1,"D",0.4,0,-5,-6,25,2,5,-3,13,0,2.05,3.3,3.6,0.12463826534025,0.264342155699664,0.611019578960085,14,1.63660876743415,3.78297588348399,8.02321820887108
"61","I1",14,"Catania","Udinese",1,"H",0.2,0.4,-6,-2,-38,-20,-17,-6,-20,4,2.9,3.1,2.5,0.364345164531685,0.299179412953877,0.336475422514438,14,2.97198527169422,3.34247597495675,2.74465012122601
"62","I1",14,"Inter","Livorno",1,"H",0.6,0.3,2,-5,11,29,0,1,4,3,1.3,5,10,0.223009264164967,0.248087087376277,0.528903648458756,14,1.89070353913049,4.03084259876568,4.4841186474669
"63","I1",14,"Atalanta","Bologna",1,"H",0.5,0.5,0,0,-34,34,-7,11,4,8,2.05,3.3,3.6,0.511441283961643,0.218443246433048,0.27011546960531,14,3.70212043560923,4.57784809706396,1.95525866088471
"64","I1",14,"Cagliari","Torino",1,"H",0.2,0.4,-7,-2,31,-5,1,-4,12,13,2,3.3,3.8,0.150895003741752,0.238024704964256,0.611080291293992,14,1.63644616631712,4.2012445731218,6.62712465756284
"65","I1",14,"Chievo","Milan",1,"D",0.1,0.3,-4,-3,-13,20,-3,-2,-8,0,3.8,3.3,2,0.293895204535626,0.371848102166452,0.334256693297922,14,2.99171271675539,2.68927014599194,3.40257338182862
"66","I1",14,"Fiorentina","Sampdoria",1,"H",0.7,0.5,4,-1,-24,1,-1,1,-4,-15,1.4,4.5,8,0.289701163225404,0.284714960988072,0.425583875786525,14,2.34971308100405,3.51228469529529,3.45183287794376
"67","I1",14,"Genoa","Verona",1,"H",0.7,0.8,2,5,-45,-38,-11,-5,-3,-4,2.25,3.25,3.25,0.338999668658413,0.217051407778808,0.443948923562779,14,2.25251137445001,4.6072034742068,2.94985539058928
"68","I1",14,"Juventus","Napoli",1,"H",0.8,0.8,6,6,59,15,24,12,10,12,1.73,3.6,4.75,0.129398765320476,0.227188318175604,0.64341291650392,14,1.55421188221345,4.40163476727292,7.72804900822155
"69","I1",14,"Parma","Lazio",1,"D",0.4,0.4,0,-1,-8,16,-8,1,-5,-2,2.3,3.2,3.2,0.289926318369297,0.311881891189514,0.398191790441189,14,2.51135262957586,3.20634197832395,3.44915220399632
"70","I1",14,"Roma","Sassuolo",1,"D",0.9,0.5,7,-1,5,4,5,8,2,-11,1.22,6,13,0.212335231143872,0.239189801812898,0.54847496704323,14,1.82323726712797,4.1807802524216,4.70953404488221
"71","I1",14,"Milan","Genoa",1,"D",0.4,0.8,-2,4,49,-52,0,-11,10,-3,1.44,4.2,7.5,0.0664152565113476,0.184786848946487,0.748797894542166,14,1.33547384052332,5.41164052366949,15.0567814163172
"72","I1",14,"Napoli","Parma",1,"A",0.6,0.3,-1,-2,14,-5,3,-4,12,-8,1.44,4.5,6.5,0.143572946808848,0.251498859630288,0.604928193560864,14,1.65308876432685,3.97616117015415,6.96510047489234
"73","I1",14,"Verona","Chievo",1,"A",0.6,0.2,0,-3,-14,-42,-1,-5,-4,-20,2.1,3.3,3.5,0.150782551071622,0.291368341919922,0.557849107008456,14,1.79259944568638,3.43208185697413,6.63206712509458
"74","I1",14,"Bologna","Inter",1,"D",0.5,0.8,2,7,21,5,9,5,0,2,4,3.4,1.91,0.210714961270373,0.317968006489215,0.471317032240412,14,2.12171411511799,3.14497049889174,4.74574749686083
"75","I1",14,"Livorno","Juventus",1,"A",0.3,0.8,-3,8,26,48,2,28,-3,6,8.5,4.75,1.36,0.422157431941417,0.339496596041109,0.238345972017474,14,4.19558170643927,2.94553763325188,2.36878454419528
"76","I1",14,"Sampdoria","Lazio",1,"D",0.4,0.4,-2,-1,-4,2,-4,-3,-16,-1,3,3.2,2.38,0.247974547527581,0.343882950318006,0.408142502154413,14,2.45012463715839,2.90796621081461,4.03267194141679
"77","I1",14,"Sassuolo","Atalanta",1,"H",0.6,0.5,1,0,-7,-20,5,-7,-21,17,2.2,3.2,3.4,0.214851523038465,0.265990179391866,0.519158297569668,14,1.92619477465985,3.75953729677652,4.65437705936564
"78","I1",14,"Torino","Catania",1,"H",0.3,0.3,-3,-5,-2,-50,-2,-15,6,-20,1.8,3.5,4.5,0.103872026654641,0.253092921170445,0.643035052174914,14,1.55512517804082,3.95111801379285,9.62723104772812
"79","I1",14,"Udinese","Fiorentina",1,"H",0.2,0.8,-5,5,-11,-6,-11,5,4,9,2.8,3.1,2.6,0.378228413224757,0.251753570657774,0.370018016117469,14,2.70257110854443,3.97213829931878,2.64390501885897
"80","I1",14,"Roma","Cagliari",1,"D",0.8,0.4,4,-4,19,29,2,4,17,13,1.44,4.33,7,0.205244328258918,0.166756934694783,0.627998737046299,14,1.59235989024971,5.99675211007154,4.87224182262658
"81","I1",14,"Genoa","Torino",1,"D",0.7,0.4,3,0,-83,-10,-18,0,-17,-2,2.38,3.2,3.1,0.540182324391809,0.217965879245643,0.241851796362548,14,4.13476358265683,4.58787404460228,1.85122680777439
"82","I1",14,"Parma","Bologna",1,"D",0.5,0.6,0,3,-3,-4,-3,6,-4,-25,1.8,3.5,4.5,0.251424752839196,0.366246143950363,0.382329103210441,14,2.6155476828809,2.73040417358095,3.97733313330359
"83","I1",14,"Atalanta","Roma",1,"D",0.3,0.7,-3,2,-22,32,-10,4,8,32,4,3.4,1.91,0.501959837180548,0.179350267707409,0.318689895112043,14,3.13784658797678,5.57568166907559,1.9921912589997
"84","I1",14,"Cagliari","Sassuolo",1,"D",0.3,0.6,-5,2,-4,9,-5,8,-5,-6,1.83,3.5,4.33,0.344253012617229,0.330650580730159,0.325096406652613,14,3.07601062188475,3.0243406734437,2.90484022898556
"85","I1",14,"Catania","Milan",1,"A",0.3,0.3,-7,-3,-35,81,-11,8,-15,29,4.75,3.6,1.75,0.647594331298881,0.214536694331134,0.137868974369985,14,7.25326350304458,4.66120727327193,1.54417658041308
"86","I1",14,"Chievo","Livorno",1,"H",0.4,0.3,-1,-4,-42,8,-4,-6,-22,-14,1.91,3.4,4,0.335528394272282,0.37655039657061,0.287921209157108,14,3.4731724103532,2.65568701854356,2.98037369436012
"87","I1",14,"Inter","Sampdoria",1,"D",0.8,0.3,7,-3,33,0,7,2,24,-14,1.4,4.5,8,0.0903294458494081,0.185939704851491,0.723730849299101,14,1.38172913448204,5.37808748700926,11.0705871224666
"88","I1",14,"Juventus","Udinese",1,"H",1,0.4,12,-3,54,1,32,-4,13,-3,1.3,5,10,0.0479218948606961,0.165445426706086,0.786632678433218,14,1.27124136514613,6.04428916476791,20.8672883847121
"89","I1",14,"Fiorentina","Verona",1,"H",0.6,0.4,2,-2,-7,-20,0,-5,10,-3,1.44,4.33,7,0.17226050068899,0.214128693345013,0.613610805965997,14,1.62969750577602,4.67008874139422,5.80516134575425
"90","I1",14,"Lazio","Napoli",1,"A",0.5,0.6,0,0,2,10,-5,4,6,8,3.1,3.3,2.3,0.290035748068513,0.223768005808866,0.486196246122621,14,2.05678264275984,4.46891411658805,3.44785084824708
"91","I1",14,"Bologna","Juventus",1,"A",0.5,1,2,11,-11,54,0,24,-33,17,8.5,4.33,1.4,0.582891175321841,0.289172767084669,0.127936057593489,14,7.81640468535814,3.4581403016668,1.71558610309695
"92","I1",14,"Livorno","Milan",1,"D",0.3,0.5,-6,0,-1,82,-6,15,-20,29,5.5,3.75,1.62,0.57329687393983,0.261183991085402,0.165519134974767,14,6.04159754793575,3.82871858203981,1.7442969697842
"93","I1",14,"Napoli","Udinese",1,"D",0.6,0.4,0,-3,-1,-15,3,-3,7,-7,1.57,3.75,6,0.179381110861132,0.235095140909069,0.585523748229799,14,1.70787265763904,4.25359705918712,5.57472297500795
"94","I1",14,"Cagliari","Genoa",1,"H",0.4,0.8,-3,5,0,-70,-3,-12,-2,-17,1.95,3.3,4,0.128679924060683,0.269542246614397,0.601777829324919,14,1.66174284141011,3.70999356338594,7.77122000420528
"95","I1",14,"Inter","Parma",1,"D",0.7,0.4,5,-1,18,8,0,-2,15,8,1.65,3.75,5.5,0.149054041773418,0.189406802083225,0.661539156143356,14,1.51162631979308,5.27964143315507,6.70897607406132
