"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"52","E0",12,"Blackburn","Newcastle",1,"A",0.6,0.6,2,1,-36,1,-11,-4,-22,-2,2.63,3.3,2.7,0.394907094924747,0.250946154995139,0.354146750080113,1,2.82368820206252,3.98491859745518,2.53224115963416
"53","E0",12,"Man United","West Brom",1,"H",0.9,0.7,6,8,-17,35,2,30,4,12,1.29,5.5,11,0.399423901654768,0.252607275126393,0.347968823218838,1,2.8738206795357,3.95871417202709,2.50360580790762
"54","E0",12,"Everton","Arsenal",1,"A",0.6,1,0,12,-28,46,-13,33,-11,-1,3,3.4,2.3,0.592427509921956,0.240692557511275,0.166879932566769,1,5.99233223922774,4.1546776948147,1.68797022969399
"55","E0",12,"Arsenal","Aston Villa",1,"H",1,0.4,7,-1,34,1,31,2,-9,0,1.33,5,10,0.147459688780195,0.198394740162199,0.654145571057606,1,1.52871171837673,5.04045620958723,6.78151438045289
"56","E0",12,"Wolves","Bolton",1,"A",0.1,0.4,-13,-4,-41,-33,-39,-20,-4,1,2.3,3.4,3.1,0.411337384072764,0.286386094547953,0.302276521379283,1,3.30822915202615,3.49178964704433,2.43109437342827
"57","E0",12,"Wolves","Arsenal",1,"A",0,0.8,-10,5,-28,46,-25,30,10,18,7,4.5,1.44,0.616560144422806,0.240062505615989,0.143377349961205,1,6.97460233621683,4.16558178226978,1.62190178694757
"58","E0",12,"Man United","Aston Villa",1,"H",0.8,0.4,9,-4,44,-22,29,-9,19,-9,1.22,6.5,13,0.0683249120271999,0.156355820185823,0.775319267786977,1,1.28979124026459,6.39566853866736,14.6359500558435
"59","E0",12,"Newcastle","Stoke",1,"H",1,0.5,9,-1,-14,-24,-4,-32,-16,-27,1.67,3.75,5.5,0.197948622052972,0.203877081636977,0.598174296310051,1,1.6717535443577,4.90491619740073,5.05181591884179
"60","E0",12,"Sunderland","Bolton",1,"D",0.4,0.5,-4,-3,-32,-10,-21,2,-7,-13,2,3.5,3.75,0.327408910939786,0.284758017685712,0.387833071374503,1,2.57842890101131,3.5117536219953,3.05428461653541
"61","E0",12,"Bolton","West Brom",1,"D",0.4,0.7,-4,1,-12,-35,1,-17,-11,-7,2,3.5,3.75,0.268177513984323,0.292001335561572,0.439821150454105,1,2.27365145802453,3.42464187047918,3.72887340606214
"62","E0",12,"Wolves","Everton",1,"D",0.2,0.7,-6,8,-14,17,-4,6,10,2,5,3.75,1.7,0.455581258473403,0.280433724696083,0.263985016830515,1,3.7880937789815,3.56590492489354,2.19499810714532
"63","E0",12,"Chelsea","Blackburn",1,"H",0.4,0.2,0,-5,6,-44,-3,-23,4,-8,1.3,5.5,10,0.135362166351311,0.212837279231374,0.651800554417315,1,1.53421164376573,4.69842502972849,7.38758862210183
"64","E0",12,"Norwich","Aston Villa",1,"H",0.3,0.3,-9,-5,-19,-29,-26,-25,-18,-23,2.2,3.4,3.25,0.322271972572855,0.273429608059016,0.404298419368129,1,2.47342050350551,3.65724841248415,3.10296918474328
"65","E0",13,"Arsenal","Chelsea",1,"A",0.7,0.9,7,7,21,16,5,12,10,1,2.1,3.4,3.5,0.286686820163238,0.249461656208421,0.463851523628341,1,2.15586227286222,4.0086320887909,3.48812686760628
"66","E0",13,"Wigan","Everton",1,"D",0.3,0.7,-4,5,-15,37,-13,23,-12,7,4.2,3.4,1.91,0.536517736974518,0.247676781586641,0.215805481438841,1,4.63380259543314,4.03752016476436,1.86387127784276
"67","E0",13,"Liverpool","Reading",1,"H",0.4,0.2,0,-5,36,-46,11,-24,17,-6,1.33,5,10,0.0893562960569609,0.186029851629994,0.724613852313045,1,1.38004538114734,5.37548136085686,11.1911532161376
"68","E0",13,"Wigan","West Ham",1,"H",0.1,0.6,-7,2,-20,-6,-18,-7,-12,6,2.25,3.4,3.2,0.447215903510595,0.269464115875516,0.283319980613889,1,3.52957810399828,3.7110692707669,2.23605643750616
"69","E0",13,"Swansea","Chelsea",1,"D",0.3,0.8,-5,6,10,0,1,7,19,16,4.5,3.6,1.8,0.344691473538813,0.292794467521791,0.362514058939396,1,2.75851370544274,3.41536508003033,2.90114515956368
"70","E0",13,"Liverpool","Newcastle",1,"D",0.6,0.6,3,-1,26,-1,10,-2,1,-4,1.57,4,6,0.205292727391248,0.23339964136833,0.561307631240421,1,1.78155425713725,4.28449672903263,4.87109315905864
