"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","H_odds","D_odds","A_odds"
"51","I1",11,"Cagliari","Chievo",1,"H",0.6,0.7,-1,5,15,-10,-3,3,-4,-1,2.1,2.88,4.2,0.298733570495475,0.280198650983238,0.421067778521286,2.37491456485181,3.56889655425151,3.34746442571357
"52","I1",11,"Cesena","Udinese",1,"A",0.2,0.9,-5,7,-33,-7,-16,1,0,1,3.6,3.2,2.1,0.495447613273906,0.25629826777926,0.248254118946834,4.02813054720821,3.901704091349,2.01837686408866
"53","I1",11,"Juventus","Inter",1,"H",0.5,0.8,1,5,30,32,5,15,5,13,2.88,3,2.6,0.391518529875347,0.280851890288301,0.327629579836351,3.05222745913081,3.56059558286567,2.55415752689504
"54","I1",11,"Sampdoria","Bologna",1,"H",0.1,0.7,-8,2,-19,10,-10,7,6,8,2.1,3.1,3.8,0.475104287585726,0.280991030120559,0.243904682293715,4.09996229098948,3.55883246369449,2.10480104290695
"55","I1",11,"Bologna","Palermo",1,"H",0.5,0.6,-2,1,5,-5,4,3,2,5,2.7,3.1,2.7,0.278466830111578,0.276500821617691,0.445032348270731,2.24702766863064,3.61662578125236,3.5910919788878
"56","I1",11,"Napoli","Catania",1,"H",0.8,0.3,8,-4,9,24,16,-8,4,13,1.4,4.33,8,0.163277077332703,0.214536535325216,0.622186387342081,1.6072354206782,4.66121072797274,6.12455842752711
"57","I1",11,"Udinese","Brescia",1,"D",0.9,0.3,8,-4,-2,-41,6,-13,7,-23,1.4,4.33,8,0.0670812144184128,0.15942611327566,0.773492672305927,1.29283706983133,6.27249814634145,14.9073031648264
"58","I1",11,"Bologna","Roma",1,"A",0.7,0.3,2,-2,13,-4,4,-8,7,-1,4.75,3.4,1.8,0.159735675478332,0.234584349666384,0.605679974855284,1.65103691968507,4.26285897342324,6.2603422623373
"59","I1",11,"Brescia","Lecce",1,"D",0.4,0.5,-3,0,-19,0,-5,4,-7,-7,1.91,3.25,4.33,0.332462894760462,0.309244695269951,0.358292409969587,2.79101642171232,3.23368521851947,3.0078544576245
"60","I1",11,"Cagliari","Lazio",1,"H",0.6,0.8,2,5,8,21,-1,15,-4,5,2.38,3,3.2,0.3922557439339,0.286447573785242,0.321296682280858,3.11238819181414,3.49104021648907,2.54935718715316
"61","I1",11,"Cesena","Chievo",1,"H",0.3,0.5,-5,1,-13,-9,-14,0,-4,-11,2.6,3,2.88,0.342718763040537,0.307792086731479,0.349489150227984,2.86131915496566,3.24894642555385,2.91784433139343
"62","I1",11,"Udinese","Bari",1,"H",0.8,0.2,12,-6,13,-13,13,-11,8,-6,1.29,5.5,10,0.08673786464429,0.171495645282182,0.741766490073528,1.34813315697353,5.83105185180988,11.5289902985389
"63","I1",11,"Chievo","Fiorentina",1,"A",0.2,0.6,-5,4,-20,1,-6,4,-13,-1,2.7,2.9,2.88,0.45935872369854,0.302403517271221,0.238237759030239,4.19748743469785,3.30683984440272,2.17694788062034
"64","I1",11,"Genoa","Cagliari",1,"A",0.5,0.3,-2,-5,11,4,-3,-8,12,-13,2.38,2,5.5,0.158382142375591,0.245469766100573,0.596148091523836,1.67743554700287,4.07382145624517,6.31384312019582
"65","I1",11,"Lecce","Udinese",1,"H",0.3,0.9,-1,14,-4,17,2,21,12,7,5,3.4,1.75,0.538405761089696,0.274414845148659,0.187179393761645,5.34246841975246,3.64411772059296,1.85733525208956
"66","I1",11,"Inter","Chievo",1,"H",0.7,0.4,3,-1,0,-17,15,-4,0,-2,1.44,4,8,0.161154770282176,0.239750096441271,0.599095133276553,1.66918398173397,4.17100979246095,6.20521501317671
"67","I1",11,"Bologna","Napoli",1,"A",0.6,0.7,1,1,-37,8,-11,4,-29,13,5.5,3.5,1.67,0.467408132201859,0.269516153683578,0.263075714114563,3.80118705888801,3.71035274261905,2.13945785514945
"68","I1",11,"Lazio","Parma",1,"H",0.4,0.4,-1,-2,3,-29,3,-10,2,1,1.75,3.4,5,0.203446241144263,0.248885067282821,0.547668691572916,1.82592142911799,4.01791883666387,4.91530339600082
"69","I1",11,"Sampdoria","Lecce",1,"A",0.1,0.3,-5,-1,4,-7,-6,-3,3,8,2.1,2.1,6,0.360221636474099,0.303545225373428,0.336233138152473,2.97412683798742,3.29440200803612,2.77606867202132
"70","I1",11,"Parma","Inter",1,"H",0.3,0.7,-4,3,-27,-2,-5,12,2,0,4.5,3.5,1.8,0.415470149101686,0.297482127079374,0.28704772381894,3.48374126328473,3.3615464895919,2.40691178935999
"71","I1",11,"Fiorentina","Juventus",1,"D",0.6,0.7,3,3,8,18,5,4,3,8,2.63,3.25,2.63,0.306448448852347,0.260841335342085,0.432710215805568,2.31101546363614,3.83374820056235,3.26319158652952
"72","I1",11,"Napoli","Udinese",1,"A",0.9,0.6,6,4,10,9,10,14,22,4,1.6,3.5,5.5,0.204619971385817,0.250109402489599,0.545270626124584,1.83395171514616,3.99825032584126,4.88710849301444
"73","I1",11,"Brescia","Milan",1,"A",0.4,0.7,-2,6,16,32,6,14,-2,20,5.75,3.1,1.75,0.474222824769028,0.286684674784893,0.239092500446079,4.18248166769883,3.48815297068226,2.1087133469104
"74","I1",11,"Juventus","Catania",1,"D",0.8,0.5,4,0,0,10,5,-7,6,0,1.44,4.2,7.5,0.181021721641369,0.224092069872271,0.59488620848636,1.68099375264459,4.46245152972163,5.5241989244868
"75","I1",11,"Catania","Cagliari",1,"H",0.4,0.4,-1,-1,5,14,-8,6,-4,-10,1.33,4.75,9,0.31357225182063,0.31873302161347,0.367694726565899,2.71964738069415,3.13742201839603,3.18905768668594
"76","I1",11,"Parma","Palermo",1,"H",0.6,0.7,2,-1,-8,11,2,7,5,-18,1.95,3,4.5,0.215282237240635,0.263019179565571,0.521698583193793,1.91681563303869,3.80200410347146,4.64506506815159
"77","I1",11,"Lazio","Juventus",1,"A",0.6,0.8,4,4,13,-5,-3,9,7,5,2.1,3.2,3.6,0.301257537600692,0.25646230524834,0.442280157150968,2.26101032079235,3.89920849784014,3.31941901923619
"78","I1",11,"Palermo","Bari",1,"H",0.5,0.3,-4,-2,23,-8,6,-8,-13,-5,1.44,4.33,7,0.209365867346168,0.291454409746653,0.499179722907179,2.0032865000527,3.43106834742783,4.77632773992997
"79","I1",11,"Lecce","Napoli",1,"H",0.5,0.6,0,2,3,2,-9,5,4,17,2.2,3.3,3.25,0.373919596076343,0.269360797821425,0.356719606102232,2.80332222533743,3.71249271641584,2.67437173791723
"80","I1",11,"Juventus","Chievo",1,"D",0.8,0.5,4,0,-20,-9,5,-9,1,-3,1.29,5,12,0.176015336643211,0.221958464334599,0.60202619902219,1.66105727894267,4.50534744416197,5.68132311121861
"81","I1",11,"Chievo","Udinese",1,"A",0.5,0.4,0,-4,-7,-7,-8,3,-2,-1,7.5,4.33,1.36,0.262629682840901,0.285356323853105,0.452013993305994,2.21232089008148,3.50439053355192,3.80764272028533
"82","I1",11,"Roma","Sampdoria",1,"H",0.5,0.3,0,-4,8,7,9,1,-4,13,1.29,5,11,0.259280159369931,0.286909791951033,0.453810048679037,2.20356513239588,3.4854160717201,3.85683193974453
"83","I1",11,"Udinese","Milan",1,"D",0.6,0.9,-1,8,-4,15,2,12,8,9,3.5,1.53,6.5,0.393995713777462,0.270094847330873,0.335909438891665,2.97699285646603,3.70240309980803,2.53809867729887
"84","I1",12,"Catania","Inter",1,"H",0.5,0.3,-2,-4,5,7,-7,-10,-6,-10,3.6,3.25,2.1,0.218345048928891,0.275997296306787,0.505657654764322,1.97762258828274,3.62322389886182,4.57990691753983
"85","I1",12,"Genoa","Lecce",1,"D",0.5,0.2,1,-6,-12,6,2,2,1,-2,1.57,3.75,6,0.226599493127559,0.29178171187941,0.481618794993031,2.0763309289341,3.4272195935751,4.41307253691461
"86","I1",12,"Lazio","Roma",1,"H",0.6,0.6,1,2,14,16,3,8,3,-2,2.6,3.2,2.75,0.27796043788717,0.286523661338482,0.435515900774347,2.2961274162941,3.4901131561999,3.59763428062349
"87","I1",12,"Bologna","Atalanta",1,"H",0.4,0.6,-3,0,-30,-17,2,1,2,0,2.5,3.2,2.88,0.292470188435011,0.276715871203435,0.430813940361554,2.32118765507162,3.61381512253348,3.41915189835564
"88","I1",12,"Cagliari","Lazio",1,"A",0.6,0.8,2,4,4,33,3,-1,-2,-3,2.5,3.2,2.88,0.30975874042927,0.258184771040316,0.432056488530414,2.31451216807639,3.87319513839121,3.2283189123709
"89","I1",12,"Fiorentina","Genoa",1,"H",0.3,0.4,-2,-2,-15,-22,-6,-2,-9,9,2,3.2,4,0.34146930080795,0.290085677255637,0.368445021936414,2.71410913558924,3.4472574084337,2.92852094649183
"90","I1",12,"Lecce","Novara",1,"D",0.1,0.2,-8,-6,-17,11,-10,-3,-17,7,2.2,3.3,3.3,0.408244709101136,0.323440963401912,0.268314327496952,3.72697205299765,3.09175433279113,2.44951123114805
"91","I1",12,"Udinese","Siena",1,"H",0.7,0.6,4,3,11,-9,-3,-2,4,-9,1.62,3.6,6,0.209318987590247,0.246054312836802,0.544626699572951,1.83612004476481,4.06414335302979,4.77739746170353
"92","I1",12,"Lecce","Catania",1,"A",0.3,0.4,-3,-4,-30,7,-9,-1,-30,9,2.6,3.1,2.8,0.437715588224507,0.300847212883254,0.261437198892239,3.82501038198541,3.32394636605145,2.28458850199115
"93","I1",12,"Cagliari","Bologna",1,"D",0.2,0.4,-5,-2,-12,-5,-7,7,-1,3,1.85,3.3,4.5,0.371806615255571,0.316231167921743,0.311962216822686,3.20551639293031,3.16224364148529,2.68957022002587
